job_id,salary_in_usd
job_1638,92350
job_1639,120000
job_1640,112900
job_1641,90320
job_1642,145000
job_1643,105400
job_1644,110820
job_1645,92350
job_1646,215300
job_1647,158200
job_1648,209100
job_1649,154600
job_1650,115934
job_1651,81666
job_1652,175000
job_1653,155000
job_1654,84053
job_1655,164000
job_1656,132000
job_1657,170000
job_1658,123000
job_1659,189650
job_1660,164996
job_1661,52533
job_1662,52533
job_1663,115222
job_1664,165400
job_1665,132320
job_1666,208775
job_1667,147800
job_1668,136994
job_1669,101570
job_1670,128875
job_1671,93700
job_1672,76309
job_1673,35093
job_1674,183600
job_1675,100800
job_1676,49253
job_1677,36940
job_1678,42026
job_1679,31520
job_1680,84053
job_1681,73546
job_1682,98506
job_1683,86193
job_1684,84053
job_1685,73546
job_1686,189650
job_1687,164996
job_1688,42026
job_1689,31520
job_1690,92350
job_1691,73880
job_1692,215300
job_1693,140400
job_1694,63040
job_1695,47280
job_1696,260000
job_1697,180000
job_1698,67723
job_1699,43096
job_1700,63040
job_1701,47280
job_1702,73880
job_1703,55410
job_1704,60000
job_1705,82900
job_1706,63900
job_1707,160000
job_1708,112300
job_1709,241000
job_1710,159000
job_1711,180000
job_1712,80000
job_1713,58000
job_1714,58000
job_1715,136000
job_1716,108800
job_1717,242000
job_1718,200000
job_1719,61566
job_1720,36940
job_1721,73880
